term,pattern,year,total_count,n_reports,total_words,total_instruments,per_10000_words,count_per_report,count_per_instrument
delay_family,\b(delays?|delayed|delaying)\b,1991,24,3,23047,,10.413502842018485,8.0,
delay_family,\b(delays?|delayed|delaying)\b,1992,42,4,44383,,9.46308271184913,10.5,
delay_family,\b(delays?|delayed|delaying)\b,1993,21,3,30649,,6.851773304186107,7.0,
delay_family,\b(delays?|delayed|delaying)\b,1994,101,10,113388,,8.907468162415777,10.1,
delay_family,\b(delays?|delayed|delaying)\b,1995,117,5,65389,,17.892917769043724,23.4,
delay_family,\b(delays?|delayed|delaying)\b,1996,9,2,19869,,4.5296693341386085,4.5,
delay_family,\b(delays?|delayed|delaying)\b,1997,77,8,64189,,11.9958248297995,9.625,
delay_family,\b(delays?|delayed|delaying)\b,1998,31,2,20226,,15.326807079996044,15.5,
delay_family,\b(delays?|delayed|delaying)\b,1999,108,2,25571,,42.235344726447934,54.0,
delay_family,\b(delays?|delayed|delaying)\b,2000,38,3,32743,,11.605534007268728,12.666666666666666,
delay_family,\b(delays?|delayed|delaying)\b,2001,25,3,14892,,16.78753693258125,8.333333333333334,
delay_family,\b(delays?|delayed|delaying)\b,2002,24,5,21041,,11.406301981844969,4.8,
delay_family,\b(delays?|delayed|delaying)\b,2003,53,4,18677,,28.377148364298336,13.25,
delay_family,\b(delays?|delayed|delaying)\b,2004,4,2,16456,,2.430724355858046,2.0,
delay_family,\b(delays?|delayed|delaying)\b,2005,132,8,51005,,25.87981570434271,16.5,
delay_family,\b(delays?|delayed|delaying)\b,2006,27,4,17973,,15.022533800701051,6.75,
delay_family,\b(delays?|delayed|delaying)\b,2007,17,4,24544,,6.926336375488918,4.25,
delay_family,\b(delays?|delayed|delaying)\b,2008,118,7,51245,,23.026636745048297,16.857142857142858,
delay_family,\b(delays?|delayed|delaying)\b,2009,70,2,11324,,61.81561285764747,35.0,
delay_family,\b(delays?|delayed|delaying)\b,2010,87,12,49393,,17.61383191950276,7.25,
delay_family,\b(delays?|delayed|delaying)\b,2011,146,7,35581,,41.03313566229168,20.857142857142858,
delay_family,\b(delays?|delayed|delaying)\b,2012,54,6,27301,,19.779495256584006,9.0,
delay_family,\b(delays?|delayed|delaying)\b,2013,68,9,47755,,14.239346665270652,7.555555555555555,
delay_family,\b(delays?|delayed|delaying)\b,2014,77,5,29467,,26.13092612074524,15.4,
delay_family,\b(delays?|delayed|delaying)\b,2015,45,8,44178,,10.186065462447372,5.625,
delay_family,\b(delays?|delayed|delaying)\b,2016,18,7,67043,,2.6848440553077877,2.5714285714285716,
delay_family,\b(delays?|delayed|delaying)\b,2017,19,8,42089,,4.514243626600774,2.375,
delay_family,\b(delays?|delayed|delaying)\b,2018,45,12,96175,,4.678970626462179,3.75,
delay_family,\b(delays?|delayed|delaying)\b,2019,9,7,53632,,1.6781026252983293,1.2857142857142858,
delay_family,\b(delays?|delayed|delaying)\b,2020,32,7,43400,,7.373271889400922,4.571428571428571,
delay_family,\b(delays?|delayed|delaying)\b,2021,32,7,34659,,9.23281110245535,4.571428571428571,
delay_family,\b(delays?|delayed|delaying)\b,2022,138,11,68448,,20.161290322580644,12.545454545454545,
delay_family,\b(delays?|delayed|delaying)\b,2023,122,12,77744,,15.69252932702202,10.166666666666666,
recruitment,\brecruitment\b,1954,0,2,21568,,0.0,0.0,
recruitment,\brecruitment\b,1955,0,1,15784,,0.0,0.0,
recruitment,\brecruitment\b,1956,0,3,25414,,0.0,0.0,
recruitment,\brecruitment\b,1957,0,2,45694,,0.0,0.0,
